;1964-1977;Ростовское областное управление мелиорации и водного хозяйства Ростоблисполкома РСФСР Министерства мелиорации и водного хозяйства 
;1978-1988;   Минводхоза РСФСР
23;1943-1978;Ростовская областная контора пчеловодства Ростовского областного управления сельского хозяйства
24;1972-1975;Ростовское областное производственное объединение совхозов Министерства совхозов РСФСР
25;1943-1978;Ростовская областная контора шелководства Российской республиканской конторы по шелководству Росшелк Министерства сельского хозяйства РСФСР
;1979-1996;Ростовское областное управление шелководства
26;февраль-авг 1943;Городской земельный отдел Горисполкома
;авг 1943-1962;Сельхозотдел Горисполкома
;1963-1973;Городская санитарно-ветеринарная станция
;1974-июнь1986;Ростовская-на-Дону Городская санитарно-ветеринарная станция
;июнь1986июнь1999;Городская станция по борьбе с болезнями животных Ростовская
;июнь1999-2004;Государственное учреждение Ростовская городская станция по борьбе с болезнями животных 
27;1950-1966;Ростовская областная контора Зооветснаб
;1966-1980;Ростовское областное объединение ЗооветснабОбластного управления сельского хозяйства
28;1943-1963;Отряд по борьбе с болезнями растений и животных Главного управления защиты растений РСФСР
;1963-2002;Ростовская областная станция защиты растений Ростовского областного управления производства и заготовок сельхозпродуктов см дело фонда
29;1946-1947;Ростовский областной отдел животноводства
30;1947-1966;Ростовский семенозаготовительный участок
;1966-1972;Ростовская  областная контора семеноводства плодовых культур 
;1973-1985;Ростовский плодосеменоводческий госпромхоз
;март1986-нояб1987;Плодосеменоводческий совхоз Ростовский ПО Ростовплодосемпром
;нояб1987-сент1992;Совхоз Ростовский ПО Донсадпитомник 
;сент1992-апр 1998;АОЗТ Росток
;апр1998-2002;ЗАО Росток
31;1946-1947;Ростовский государственный ипподром Центрального управления военных конных заводов
;1948-1958;Ростовский государственный ипподром Северо-Кавказского треста конных заводов
;1959-1966;Ростовский государственный ипподром Ростовского областного управления сельского хозяйства
;1967-1972;Республиканский Ростовский ипподром Главного управления коневодства и коннозаводства МСХ РСФСР 
;1973-2001;Государственное предприятие Ростовский республиканский ипподром Министерства сельского хозяйства и продовольствия Российской федерации 
32;1943-1976;Ростовская государственная инкубаторно-птицеводческая станция
;1986-1991;Цех инкубации Производственного бройлерного объединения Ростовское птицефабрики Дон
;1991;Ростовская инкубаторно-птицеводческая станция
;1992-1993;ООО Ростовский инкубатор
;1994-2003;ТОО Ростовский инкубатор
33;1943-1972;Инспектура госкомиссии по сортоиспытанию сельскохозяйственных культур по Ростовской области
34;1944-1964;Межсовхозная ветбаклаборатория (1943-1952 Министерства совхозов СССР,1953-1954 Министерства совхозов РСФСР),1955-1956 Ростовского областного управления совхозов,1957-1961 Ростовского областного управления сельского хозяйства,1962-1964 Ростовского областного управления производства и заготовок сельскохозяйственных продуктов)
;1964-1967;Ростовская областная производственная лаборатория по изготовлению   препаратов для животноводства (1964-1965Ростовского областного управления производства и заготовок сельскохозяйственных продуктов), 1966-1967 Ростовского областного управления сельского хозяйства 
;1967-1972;Отдел по производству препаратов для животноводства Областного управления сельского хозяйства
;1972-1982;Ростовская областная производственная ветлабораторияРостовского областного управления сельского хозяйства
35;1943-1957;Сальское межрайонное отделение пчеловодства Ростовской областной конторы пчеловодства
;1957-1973;Ростовское межрайонное отделение пчеловодства Ростовской областной конторы пчеловодства
36;1942-1982;Домоуправление Областного управления сельского хозяйства 
37;1943-1947;Ростовская областная контора инкубаторно-птицеводческих станций ОблЗО
;1947-1953;Ростовский областной трест инкубаторно-птицеводческих станций Главного управления ИПС МСХ РСФСР
;1953-1961;Ростовское областное управление птицеводства и инкубатор-но-птицеводческих станций Областного управления сельского хозяйства и заготовок
;1961-1960;Ростовский трест птицеводческих совхозов ИПС Ростовского областного управления совхозов
;1965-1985;Ростовский трест Птицепром Всероссийского производственно-научного объединения птицеводческой промышленности
;1986-1993;Производственное объединение Ростовптицепром по птицеводству
;1994-1996;АО Донптицепром
38;1954-1957;Каменское областное управление птицеводства и инкубаторно- птицеводческих станций
39;1943-1948;Ростовская областная контрольно-семенная лаборатория
;1948-1953;Ростовская областная госинспекция по качеству семян
;1953-1969;Ростовская областная контрольно-семенная лаборатория  
;1969-1991;Ростовская  областная семенная государственная инспекция
40;1946-1953;Батайская госинспекция по семенному контролю
;1961-1969;Батайская контрольно-семенная лаборатория  
;1969-1970;Батайская контрольно семенная  инспекция
41;1943-1947;Ростовская межобластная контора Агролессемпитомник
;1948-1953;Ростовское областное отделение Всесоюзного треста Гослесопитомник
;1954-1956;Ростовский областной трест Гослессемпитомник
;1957-1960;Управление садоводства, плодопитомнических совхозов, пчеловодства и шелководства
;1961-1976;Трест садоводства и плодопитомнических совхозов 
;1977-1986;Объединение Донплодопром
42;1943-1964;Ростовская областная заготовительно-племенная животноводческая контора
;1965-1971;Ростовское областное объединение по заготовкам племенных животных Племживобъединение
;1972;Ростовское областное Госплемобъединение 1971-1972-документов нет
